ID,CNP_ID,CNP_DATA,CGN_ID,CGN_DATA,DATA,TP_ID,TP_TYPE,TTIP_ID,TTIP_DATA,EMC_CODE,EMC_DATA,PD_DATA,PD_DESCRIPTION,PD_ID,PC_ID,PS_REC_VER,PS_START_DATE,PS_END_DATE,USER_STAMP,TIMESTAMP
1,1,GENERAL,,,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
2,2,REPORTS,,,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
3,3,USER RIGHTS,,,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
4,4,ATTENDANCE,,,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
5,5,PROJECT,,,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
6,2,,1,ATTENDENCE SEARCH OPTION,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
7,2,,2,REVENUE SEARCH OPTION,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
8,3,,3,ACCESS RIGHTS ROLES,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
9,4,,4,SESSION,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
10,4,,5,ATTENDANCE,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
11,4,,6,PERMISSION,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
12,5,,7,PROJECT STATUS,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
13,3,,8,SITE LINK,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
14,3,,9,RULES AND REGULATION,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
15,3,,10,EMPLOYEE TYPE,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
16,2,,11,BANDWIDTH SEARCH OPTION,,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
17,,,1,,PRESENT ABSENT COUNT,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
18,,,1,,PRESENT ABSENT COUNT BY MONTH,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
19,,,1,,OVERALL ATTENDANCE BY DATE RANGE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
20,,,1,,OVERALL ATTENDANCE BY MONTH,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
21,,,1,,OVERALL ATTENDANCE BY DATE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
22,,,1,,OVERALL ABSENT COUNT,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
23,,,2,,PROJECT REVENUE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
24,,,2,,PROJECT REVENUE BY ACTIVE NONACTIVE EMPLOYEE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
25,,,2,,PROJECT REVENUE BY ACTIVE NONACTIVE EMPLOYEE BY DATERANGE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
26,,,2,,PROJECT REVENUE BY DATE RANGE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
27,,,3,,ADMIN,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
28,,,3,,SUPER ADMIN,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
29,,,3,,USER,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
30,,,4,,PRESENT,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
31,,,4,,ABSENT,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
32,,,4,,ONDUTY,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
33,,,5,,0.5,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
34,,,5,,1,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
35,,,5,,0,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
36,,,5,,OD,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
37,,,5,,0.5OD,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
38,,,6,,0.5,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
39,,,6,,1,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
40,,,6,,1.5,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
41,,,6,,2,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
42,,,6,,2.5,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
43,,,6,,3,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
44,,,7,,STARTED,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
45,,,7,,REOPEN,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
46,,,7,,CLOSED,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
47,,,8,,http://ei-html-ssomens.appspot.com/,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
48,,,9,,https://docs.google.com/a/ssomens.com/spreadsheets/d/1yBYBMQW5P5ZsOivZkHB2hz_kCCfLiqurN0yWncUM_gM/edit#gid=412652836,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
49,,,10,,PERMANENT,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
50,,,10,,TEMPORARY,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
51,,,10,,TRAINEE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
52,,,11,,BANDWIDTH BY MONTH,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
53,,,11,,BANDWIDTH BY EMPLOYEE,,,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
54,,,,,,1,UPDATION,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
55,,,,,,2,DELETION,,,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
56,,,,,,,,1,PROJECT_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
57,,,,,,,,2,USER_ADMIN_REPORT_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
58,,,,,,,,3,ADMIN_WEEKLY_REPORT_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
59,,,,,,,,4,ONDUTY_ENTRY_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
60,,,,,,,,5,EMPLOYEE_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
61,,,,,,,,6,MENU_PROFILE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
62,,,,,,,,7,ROLE_CREATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
63,,,,,,,,8,USER_LOGIN_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
64,,,,,,,,9,USER_ACCESS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
65,,,,,,,,10,USER_MENU_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
66,,,,,,,,11,PUBLIC_HOLIDAY,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
67,,,,,,,,12,CONFIGURATION_PROFILE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
68,,,,,,,,13,CONFIGURATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
69,,,,,,,,14,ERROR_MESSAGE_CONFIGURATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
70,,,,,,,,15,USER_RIGHTS_CONFIGURATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
71,,,,,,,,16,REPORT_CONFIGURATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
72,,,,,,,,17,ATTENDANCE_CONFIGURATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
73,,,,,,,,18,TICKLER_PROFILE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
74,,,,,,,,19,TICKLER_TABID_PROFILE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
75,,,,,,,,20,BASIC_ROLE_PROFILE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
76,,,,,,,,21,BASIC_MENU_PROFILE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
77,,,,,,,,22,PROJECT_CONFIGURATION,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
78,,,,,,,,23,PROJECT_STATUS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
79,,,,,,,,24,TICKLER_HISTORY,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
80,,,,,,,,25,COMPANY_PROPERTIES_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
81,,,,,,,,26,EMAIL_TEMPLATE,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
82,,,,,,,,27,EMAIL_TEMPLATE_DETAILS,,,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
83,1,,,,,,,,,1,ALPHABETS ONLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
84,1,,,,,,,,,2,NUMBERS ONLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
85,1,,,,,,,,,3,REPORT SAVED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
86,1,,,,,,,,,4,REPORT UPDATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
87,1,,,,,,,,,5,REPORT DELETED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
88,1,,,,,,,,,6,"ALREADY [DATE]  REPORT HAS BEEN ENTERED, PLZ USE  UPDATE PAGE TO UPDATE IT FURTHER",,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
89,1,,,,,,,,,7,REPORT NOT SAVED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
90,1,,,,,,,,,8,REPORT NOT DELETED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
91,3,,,,,,,,,9,USER [LOGIN ID] RECORD IS UPDATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
92,3,,,,,,,,,10,USER [LOGIN ID] TERMINATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
93,3,,,,,,,,,11,USER [LOGIN ID] REJOINED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
94,3,,,,,,,,,12,NO USER AVAILABLE TO TERMINATE,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
95,3,,,,,,,,,13,NO USER AVAILABLE TO REJOIN,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
96,3,,,,,,,,,14,NO USER AVAILABLE TO UPDATE,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
97,3,,,,,,,,,15,NO DATA AVAILABLE IN USER LOGIN DETAIL TABLE,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
98,1,,,,,,,,,16,NO DATA AVAILABLE BETWEEN [SDATE] AND [EDATE],,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
99,1,,,,,,,,,17,REPORT NOT UPDATED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
100,1,,,,,,,,,18,NO DATA AVAILABLE FOR  [DATE],,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
101,1,,,,,,,,,19,AC_ID SHOULD BETWEEN 9 TO 14 (CANNOT BE GREATER THAN 3 HRS),,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
102,1,,,,,,,,,20,AC_ID SHOULD BETWEEN 4 TO 8,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
103,1,,,,,,,,,21,AC_ID SHOULD BETWEEN 1 TO 3,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
104,1,,,,,,,,,22,REPORT ALREADY EXISTS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
105,1,,,,,,,,,23,BOTH REPORT AND REASON NOT NULL AT A SAME TIME,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
106,1,,,,,,,,,24,BANDWIDTH SHOULD BE LESS THAN OR EQUAL TO 4 DIGITS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
107,1,,,,,,,,,25,BOTH REPORT AND REASON CANNOT BE NULL AT HALF-A-DAY ABSENT,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
108,1,,,,,,,,,26,PD_ID CANNOT BE NULL FOR HALF-A-DAY PRESENT,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
109,1,,,,,,,,,27,PD_ID CANNOT BE NULL FOR FULL DAY PRESENT,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
110,1,,,,,,,,,28,FOR FULL DAY ABSENT PERMISSION SHOULD NOT BE ENTERED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
111,1,,,,,,,,,29,FOR ONDUTY PERMISSION SHOULD NOT BE ENTERED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
112,1,,,,,,,,,30,REPORT SHOULD BE ENTERED FOR FULL DAY PRESENT,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
113,1,,,,,,,,,31,REASON SHOULD BE ENTERED FOR FULL DAY ABSENT,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
114,1,,,,,,,,,32,PD_ID SHOULD NOT BE ENTERED FOR FULL DAY ABSENT,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
115,1,,,,,,,,,33,PD_ID SHOULD NOT BE ENTERED FOR ON DUTY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
116,1,,,,,,,,,34,DESIGNATION SHOULD BE UPPERCASE ONLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
117,1,,,,,,,,,35,DOB: [DOB] SHOULD BE GREATER THAN OR EQUAL TO 18 YEARS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
118,1,,,,,,,,,36,DOB: [DOB] SHOULD BE NOT BE GREATER THAN TODAY DATE [CURDATE],,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
119,1,,,,,,,,,37,MOBILE NO: [MOB NO]  SHOULD BE EQUAL TO 10 DIGITS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
120,1,,,,,,,,,38,PROJECT NAME  SHOULD BE UPPERCASE ONLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
121,1,,,,,,,,,39,PROJECT DESCRIPTION SHOULD BE UPPERCASE ONLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
122,3,,,,,,,,,40,ENTER VALID E-MAIL ID,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
123,3,,,,,,,,,41,NO USER AVAILABLE TO UPDATE ,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
124,3,,,,,,,,,42,EMAIL ID ALREADY EXISTS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
125,3,,,,,,,,,43,ROLE :[NAME] ALREADY EXISTS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
126,3,,,,,,,,,44,ROLE CREATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
127,3,,,,,,,,,45,LOGIN ID [NAME] CREATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
128,3,,,,,,,,,46,LOGIN ID [NAME] UPDATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
129,3,,,,,,,,,47,ROLE UPDATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
130,3,,,,,,,,,48,LOGIN ID:[NAME] ALREADY EXISTS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
131,3,,,,,,,,,49,NO ROLE'S AVAILABLE TO UPDATE,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
132,3,,,,,,,,,50,NO BASIC ROLE AVAILABLE FOR [USERID],,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
133,3,,,,,,,,,51,"BASIC PROFILE ACCESS ALREADY GIVEN ,USE SEARCH AND UPDATE",,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
134,3,,,,,,,,,52,BASIC PROFILE CREATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
135,3,,,,,,,,,53,BASIC PROFILE UPDATED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
136,3,,,,,,,,,54,NO DATA AVAILABLE FOR THE BASIC ROLE [NAME],,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
137,3,,,,,,,,,55,ENTER VALID EMAIL ADDRESS OF SSOMENS.COM/GMAIL.COM/EXPATS.COM,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
138,3,,,,,,,,,56,RECORD NOT UPDATED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
139,3,,,,,,,,,57,CHECK CALENDER API ENABLED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
140,3,,,,,,,,,58,YOU DO NOT HAVE PERMISSION TO ACCESS THE FOLDER,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
141,3,,,,,,,,,59,"CALENDAR NAME / ID  IS WRONG OR MISSING IN CONFIG TABLE.PLZ,CHECK IN CONFIGURATION TABLE.",,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
142,3,,,,,,,,,60,CALENDER/SITE OWNER ONLY CAN ABLE TO SHARE CALENDER/SITE,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
143,3,,,,,,,,,61,NO ACCESS AVAILABLE FOR LOGIN ID : [LOGIN ID],,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
144,1,,,,,,,,,62,PROJECT NAME ALREADY EXISTS,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
145,1,,,,,,,,,63,PROJECT SAVED SUCCESSFULLY,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
146,3,,,,,,,,,64,PAGE ACCESS REVOKED,,,,,,,,dhandapani.sattanathan@ssomens.com,2014-08-01
